name,price,first_name,last_name,above_100
William Dixon,109.0372796,William,Dixon,True
Kristen Horn,262.5246522,Kristen,Horn,True
Kimberly Chang,187.0072583,Kimberly,Chang,True
Mary Ball,283.1746476,Mary,Ball,True
Benjamin Craig,143.8715817,Benjamin,Craig,True
Cathy Werner,61.50899135,Cathy,Werner,False
Brandon Bell,48.6373091,Brandon,Bell,False
Paul Farley,12.38946479,Paul,Farley,False
Sarah Mcdaniel,151.5954472,Sarah,Mcdaniel,True
Caroline Anderson,75.62152103,Caroline,Anderson,False
Carl Jones,147.0294047,Carl,Jones,True
Scott Lee,244.1856527,Scott,Lee,True
Kaylee Coleman,17.86427032,Kaylee,Coleman,False
Charles Parker,215.537283,Charles,Parker,True
Susan Hess,38.35997063,Susan,Hess,False
Kiara Collier,204.1825486,Kiara,Collier,True
Scott Martinez,165.8514289,Scott,Martinez,True
Christopher Ortega,30.30144506,Christopher,Ortega,False
Michael Russell,243.1724911,Michael,Russell,True
Dwayne Johnson,287.4932856,Dwayne,Johnson,True
Patty Smith,180.2344257,Patty,Smith,True
Deanna Sherman,99.79911842,Deanna,Sherman,False
Douglas Francis,161.7688908,Douglas,Francis,True
Vicki Diaz,18.64987672,Vicki,Diaz,False
Robin Phillips,244.9119836,Robin,Phillips,True
Travis Rice,141.4988254,Travis,Rice,True
Ashley Rocha,50.00303731,Ashley,Rocha,False
Sarah Jacobson,80.48182457,Sarah,Jacobson,False
Kayla Shannon,98.91531394,Kayla,Shannon,False
Sean Wang ,220.6282177,Sean,Wang ,True
Richard Estrada,49.16869151,Richard,Estrada,False
Joseph Torres,150.1237842,Joseph,Torres,True
Kim Jones,18.8434377,Kim,Jones,False
Melissa Tanner,269.1840299,Melissa,Tanner,True
Jackson Cline,64.31251721,Jackson,Cline,False
Sonya Foster,296.2155012,Sonya,Foster,True
Allen Williams,15.3908317,Allen,Williams,False
Thomas Rivera,95.22843716,Thomas,Rivera,False
Jamie Silva,296.8244075,Jamie,Silva,True
Kathleen Moore,92.50052419,Kathleen,Moore,False
Evelyn Pineda,169.2289293,Evelyn,Pineda,True
Kyle Peters,106.7990952,Kyle,Peters,True
Anthony Cruz,49.10199817,Anthony,Cruz,False
Eric Flores,122.9556986,Eric,Flores,True
Anna Richardson,254.4952606,Anna,Richardson,True
Gary Harper,47.59652592,Gary,Harper,False
Linda Johnson,115.3627815,Linda,Johnson,True
Melissa Smith,87.97994846,Melissa,Smith,False
Kristen Floyd,135.0230413,Kristen,Floyd,True
William Diaz,192.1491355,William,Diaz,True
Benjamin Smith,134.9052939,Benjamin,Smith,True
David Glenn,216.2910463,David,Glenn,True
Dawn Jones,271.6144999,Dawn,Jones,True
Joel Smith,14.4949198,Joel,Smith,False
Larry Grimes ,268.6758682,Larry,Grimes ,True
Joseph Arnold,121.7750468,Joseph,Arnold,True
Kyle Long,241.6216391,Kyle,Long,True
Brittany Day,261.5460574,Brittany,Day,True
Bobby Ward,63.5130358,Bobby,Ward,False
Thomas Lee,254.0755771,Thomas,Lee,True
Jennifer Hansen,101.4887352,Jennifer,Hansen,True
Lisa Murray,176.0919174,Lisa,Murray,True
Meghan Wade,273.2303409,Meghan,Wade,True
Tammie Brooks,84.88856949,Tammie,Brooks,False
Maria Bell,264.0746652,Maria,Bell,True
Allison Livingston,130.3484426,Allison,Livingston,True
Chris Hays,17.34276379,Chris,Hays,False
Courtney Mitchell,78.93257699,Courtney,Mitchell,False
Shawn White,188.0219256,Shawn,White,True
Taylor Gomez,225.0198237,Taylor,Gomez,True
Jeremy Rodriguez,200.7248208,Jeremy,Rodriguez,True
April Garcia,66.24555967,April,Garcia,False
Zachary Watts,15.49738786,Zachary,Watts,False
Sarah Montoya,206.8212547,Sarah,Montoya,True
Jennifer Barker,89.18615989,Jennifer,Barker,False
Sharon Garza,72.35772704,Sharon,Garza,False
Tiffany Stevens,196.379322,Tiffany,Stevens,True
Ruben Armstrong,93.69836738,Ruben,Armstrong,False
Jeffrey Spencer,271.162282,Jeffrey,Spencer,True
Nicole Ramsey,247.8596071,Nicole,Ramsey,True
Anne Roy,277.9324821,Anne,Roy,True
Lori Sanchez,285.6616405,Lori,Sanchez,True
Allison Chavez,126.850211,Allison,Chavez,True
Marcus Adams,36.47040894,Marcus,Adams,False
Mary Smith,16.31507197,Mary,Smith,False
Joseph Reed,178.4576742,Joseph,Reed,True
Jason Armstrong,26.04525746,Jason,Armstrong,False
Jeff Armstrong,88.47561284,Jeff,Armstrong,False
Sean Shields,247.8395255,Sean,Shields,True
